feature,importance
prev_home_wins,0.11886279500454319
prev_points_per_game,0.11637904557162736
prev_position_vs_avg,0.10010680337920572
prev_position,0.09461871461735766
prev_goals_conceded_per_game,0.08704629933755623
prev_points,0.08370076849623649
prev_goal_difference,0.069210867412119
prev_away_wins,0.061057221603058355
prev_home_advantage,0.06033038866541968
prev_wins,0.044222449034639705
prev_losses,0.035506289444063026
prev_win_pct,0.034967566462944924
prev_draws,0.033069805393416404
prev_goals_per_game,0.03261949941305819
prev_position_category_numeric,0.023974814468616438
is_promoted,0.004326671696137512
